height child age group
111 1 6 1
110 2 6 1
113.7 3 6 1
114 4 6 1
114.5 5 6 1
112 6 6 1
116 7 6 2
117.6 8 6 2
121 9 6 2
114.5 10 6 2
117.4 11 6 2
113.7 12 6 2
113.6 13 6 2
120.4 14 6 3
120.2 15 6 3
118.9 16 6 3
120.7 17 6 3
121 18 6 3
115.9 19 6 3
125.1 20 6 3
116.4 1 7 1
115.8 2 7 1
119.7 3 7 1
118.9 4 7 1
122 5 7 1
117.3 6 7 1
122 7 7 2
123.2 8 7 2
127.3 9 7 2
119 10 7 2
123.2 11 7 2
119.7 12 7 2
119.1 13 7 2
125 14 7 3
128.5 15 7 3
125.6 16 7 3
126.7 17 7 3
128.1 18 7 3
121.3 19 7 3
131.8 20 7 3
121.7 1 8 1
121.5 2 8 1
125.3 3 8 1
124.6 4 8 1
126.4 5 8 1
124.4 6 8 1
126.6 7 8 2
129.3 8 8 2
134.5 9 8 2
124 10 8 2
129.5 11 8 2
125.3 12 8 2
124.8 13 8 2
132 14 8 3
134.6 15 8 3
132.1 16 8 3
133.8 17 8 3
134.3 18 8 3
127.4 19 8 3
141.3 20 8 3
126.3 1 9 1
126.6 2 9 1
130.1 3 9 1
129.1 4 9 1
131.2 5 9 1
129.2 6 9 1
132.6 7 9 2
134.5 8 9 2
139.9 9 9 2
130 10 9 2
134.5 11 9 2
130.1 12 9 2
130.8 13 9 2
136.6 14 9 3
141 15 9 3
139.1 16 9 3
140.7 17 9 3
140.3 18 9 3
135.1 19 9 3
146.8 20 9 3
130.5 1 10 1
131.4 2 10 1
136 3 10 1
134 4 10 1
135 5 10 1
135.2 6 10 1
137.6 7 10 2
138.9 8 10 2
145.4 9 10 2
135.1 10 10 2
140 11 10 2
135.9 12 10 2
136.3 13 10 2
140.7 14 10 3
146.5 15 10 3
144 16 10 3
146 17 10 3
144 18 10 3
141.1 19 10 3
152.3 20 10 3
